timestamp,event_type,price,candle_index,pivot_index,delay_bars,metadata
2018-04-19 04:00:00,swing_high,0.275,12,11,1,"{""HighLow"": 1.0, ""Level"": 0.275, ""delay_bars"": 1}"
2018-04-21 12:00:00,swing_low,0.26509,26,25,1,"{""HighLow"": -1.0, ""Level"": 0.26509, ""delay_bars"": 1}"
2018-04-23 00:00:00,swing_high,0.2973,35,31,4,"{""HighLow"": 1.0, ""Level"": 0.2973, ""delay_bars"": 4}"
2018-04-25 20:00:00,swing_low,0.2573,52,50,2,"{""HighLow"": -1.0, ""Level"": 0.2573, ""delay_bars"": 2}"
2018-04-27 20:00:00,swing_high,0.30643,64,62,2,"{""HighLow"": 1.0, ""Level"": 0.30643, ""delay_bars"": 2}"
2018-05-01 08:00:00,swing_low,0.3187,85,83,2,"{""HighLow"": -1.0, ""Level"": 0.3187, ""delay_bars"": 2}"
2018-05-03 08:00:00,swing_high,0.3885,97,95,2,"{""HighLow"": 1.0, ""Level"": 0.3885, ""delay_bars"": 2}"
2018-05-05 00:00:00,swing_low,0.3465,107,105,2,"{""HighLow"": -1.0, ""Level"": 0.3465, ""delay_bars"": 2}"
2018-05-06 00:00:00,swing_high,0.37434,113,110,3,"{""HighLow"": 1.0, ""Level"": 0.37434, ""delay_bars"": 3}"
2018-05-07 04:00:00,swing_low,0.291,120,119,1,"{""HighLow"": -1.0, ""Level"": 0.291, ""delay_bars"": 1}"
2018-05-08 08:00:00,swing_high,0.34559,127,125,2,"{""HighLow"": 1.0, ""Level"": 0.34559, ""delay_bars"": 2}"
2018-05-09 08:00:00,swing_low,0.298,133,132,1,"{""HighLow"": -1.0, ""Level"": 0.298, ""delay_bars"": 1}"
2018-05-14 00:00:00,swing_high,0.285,161,159,2,"{""HighLow"": 1.0, ""Level"": 0.285, ""delay_bars"": 2}"
2018-05-14 16:00:00,swing_low,0.25123,165,164,1,"{""HighLow"": -1.0, ""Level"": 0.25123, ""delay_bars"": 1}"
2018-05-17 16:00:00,swing_high,0.26054,183,179,4,"{""HighLow"": 1.0, ""Level"": 0.26054, ""delay_bars"": 4}"
2018-05-18 16:00:00,swing_low,0.23037,189,185,4,"{""HighLow"": -1.0, ""Level"": 0.23037, ""delay_bars"": 4}"
