timestamp,event_type,price,candle_index,pivot_index,delay_bars,metadata
2017-11-08 16:00:00,swing_high,1.99,16,13,3,"{""HighLow"": 1.0, ""Level"": 1.99, ""delay_bars"": 3}"
2017-11-11 00:00:00,swing_low,1.6019,30,29,1,"{""HighLow"": -1.0, ""Level"": 1.6019, ""delay_bars"": 1}"
2017-11-14 08:00:00,swing_high,1.7381,50,44,6,"{""HighLow"": 1.0, ""Level"": 1.7381, ""delay_bars"": 6}"
2017-11-15 08:00:00,swing_low,1.5321,56,51,5,"{""HighLow"": -1.0, ""Level"": 1.5321, ""delay_bars"": 5}"
2017-11-19 16:00:00,swing_high,1.6948,82,78,4,"{""HighLow"": 1.0, ""Level"": 1.6948, ""delay_bars"": 4}"
2017-11-20 16:00:00,swing_low,1.5605,88,84,4,"{""HighLow"": -1.0, ""Level"": 1.5605, ""delay_bars"": 4}"
2017-11-21 00:00:00,swing_high,1.6522,90,89,1,"{""HighLow"": 1.0, ""Level"": 1.6522, ""delay_bars"": 1}"
2017-11-21 12:00:00,swing_low,1.54,93,91,2,"{""HighLow"": -1.0, ""Level"": 1.54, ""delay_bars"": 2}"
2017-11-24 12:00:00,swing_high,1.8187,111,110,1,"{""HighLow"": 1.0, ""Level"": 1.8187, ""delay_bars"": 1}"
2017-11-27 00:00:00,swing_low,1.76,126,125,1,"{""HighLow"": -1.0, ""Level"": 1.76, ""delay_bars"": 1}"
2017-11-28 04:00:00,swing_high,1.9532,133,131,2,"{""HighLow"": 1.0, ""Level"": 1.9532, ""delay_bars"": 2}"
2017-11-29 08:00:00,swing_low,1.7883,140,139,1,"{""HighLow"": -1.0, ""Level"": 1.7883, ""delay_bars"": 1}"
2017-11-29 16:00:00,swing_high,2.0486,142,141,1,"{""HighLow"": 1.0, ""Level"": 2.0486, ""delay_bars"": 1}"
2017-12-03 04:00:00,swing_low,1.975,163,159,4,"{""HighLow"": -1.0, ""Level"": 1.975, ""delay_bars"": 4}"
