timestamp,event_type,price,candle_index,pivot_index,delay_bars,metadata
2017-08-19 00:00:00,swing_low,3938.77,11,10,1,"{""HighLow"": -1.0, ""Level"": 3938.77, ""delay_bars"": 1}"
2017-08-21 04:00:00,swing_high,4211.08,24,19,5,"{""HighLow"": 1.0, ""Level"": 4211.08, ""delay_bars"": 5}"
2017-08-22 08:00:00,swing_low,3400.0,31,30,1,"{""HighLow"": -1.0, ""Level"": 3400.0, ""delay_bars"": 1}"
2017-08-25 20:00:00,swing_high,4453.91,52,51,1,"{""HighLow"": 1.0, ""Level"": 4453.91, ""delay_bars"": 1}"
2017-08-27 00:00:00,swing_low,4212.41,59,57,2,"{""HighLow"": -1.0, ""Level"": 4212.41, ""delay_bars"": 2}"
2017-08-30 08:00:00,swing_high,4647.51,79,78,1,"{""HighLow"": 1.0, ""Level"": 4647.51, ""delay_bars"": 1}"
2017-09-02 08:00:00,swing_low,4473.35,97,96,1,"{""HighLow"": -1.0, ""Level"": 4473.35, ""delay_bars"": 1}"
2017-09-03 12:00:00,swing_high,4714.76,104,102,2,"{""HighLow"": 1.0, ""Level"": 4714.76, ""delay_bars"": 2}"
2017-09-04 08:00:00,swing_low,4052.0,109,108,1,"{""HighLow"": -1.0, ""Level"": 4052.0, ""delay_bars"": 1}"
2017-09-08 12:00:00,swing_high,4788.59,134,129,5,"{""HighLow"": 1.0, ""Level"": 4788.59, ""delay_bars"": 5}"
2017-09-10 08:00:00,swing_low,3801.0,145,144,1,"{""HighLow"": -1.0, ""Level"": 3801.0, ""delay_bars"": 1}"
2017-09-12 16:00:00,swing_high,4394.59,159,156,3,"{""HighLow"": 1.0, ""Level"": 4394.59, ""delay_bars"": 3}"
2017-09-15 12:00:00,swing_low,2817.0,176,175,1,"{""HighLow"": -1.0, ""Level"": 2817.0, ""delay_bars"": 1}"
2017-09-16 08:00:00,swing_high,3950.0,181,179,2,"{""HighLow"": 1.0, ""Level"": 3950.0, ""delay_bars"": 2}"
2017-09-18 00:00:00,swing_low,3499.02,191,187,4,"{""HighLow"": -1.0, ""Level"": 3499.02, ""delay_bars"": 4}"
2017-09-19 04:00:00,swing_high,4123.2,198,194,4,"{""HighLow"": 1.0, ""Level"": 4123.2, ""delay_bars"": 4}"
2017-09-20 12:00:00,swing_low,3820.0,206,204,2,"{""HighLow"": -1.0, ""Level"": 3820.0, ""delay_bars"": 2}"
2017-09-24 04:00:00,swing_high,3817.19,228,224,4,"{""HighLow"": 1.0, ""Level"": 3817.19, ""delay_bars"": 4}"
2017-09-29 08:00:00,swing_low,3952.01,259,257,2,"{""HighLow"": -1.0, ""Level"": 3952.01, ""delay_bars"": 2}"
2017-10-02 04:00:00,swing_high,4560.0,276,275,1,"{""HighLow"": 1.0, ""Level"": 4560.0, ""delay_bars"": 1}"
2017-10-04 00:00:00,swing_low,4180.8,287,284,3,"{""HighLow"": -1.0, ""Level"": 4180.8, ""delay_bars"": 3}"
2017-10-04 08:00:00,swing_high,4373.0,289,288,1,"{""HighLow"": 1.0, ""Level"": 4373.0, ""delay_bars"": 1}"
2017-10-05 12:00:00,swing_low,4110.0,296,294,2,"{""HighLow"": -1.0, ""Level"": 4110.0, ""delay_bars"": 2}"
2017-10-09 20:00:00,swing_high,4889.98,322,321,1,"{""HighLow"": 1.0, ""Level"": 4889.98, ""delay_bars"": 1}"
2017-10-11 16:00:00,swing_low,4680.59,333,328,5,"{""HighLow"": -1.0, ""Level"": 4680.59, ""delay_bars"": 5}"
2017-10-13 20:00:00,swing_high,5846.17,346,342,4,"{""HighLow"": 1.0, ""Level"": 5846.17, ""delay_bars"": 4}"
2017-10-15 20:00:00,swing_low,5400.01,358,355,3,"{""HighLow"": -1.0, ""Level"": 5400.01, ""delay_bars"": 3}"
2017-10-17 08:00:00,swing_high,5788.91,367,364,3,"{""HighLow"": 1.0, ""Level"": 5788.91, ""delay_bars"": 3}"
2017-10-18 16:00:00,swing_low,5037.95,375,374,1,"{""HighLow"": -1.0, ""Level"": 5037.95, ""delay_bars"": 1}"
2017-10-21 16:00:00,swing_high,6171.0,393,392,1,"{""HighLow"": 1.0, ""Level"": 6171.0, ""delay_bars"": 1}"
2017-10-22 12:00:00,swing_low,5720.03,398,397,1,"{""HighLow"": -1.0, ""Level"": 5720.03, ""delay_bars"": 1}"
2017-10-23 08:00:00,swing_high,6080.0,403,402,1,"{""HighLow"": 1.0, ""Level"": 6080.0, ""delay_bars"": 1}"
2017-10-23 16:00:00,swing_low,5621.03,405,404,1,"{""HighLow"": -1.0, ""Level"": 5621.03, ""delay_bars"": 1}"
2017-10-27 12:00:00,swing_high,5980.0,428,425,3,"{""HighLow"": 1.0, ""Level"": 5980.0, ""delay_bars"": 3}"
2017-10-28 00:00:00,swing_low,5649.24,431,429,2,"{""HighLow"": -1.0, ""Level"": 5649.24, ""delay_bars"": 2}"
2017-10-30 12:00:00,swing_high,6248.68,446,445,1,"{""HighLow"": 1.0, ""Level"": 6248.68, ""delay_bars"": 1}"
2017-11-04 08:00:00,swing_low,6901.0,475,473,2,"{""HighLow"": -1.0, ""Level"": 6901.0, ""delay_bars"": 2}"
2017-11-05 20:00:00,swing_high,7590.25,484,482,2,"{""HighLow"": 1.0, ""Level"": 7590.25, ""delay_bars"": 2}"
2017-11-06 12:00:00,swing_low,7101.0,488,486,2,"{""HighLow"": -1.0, ""Level"": 7101.0, ""delay_bars"": 2}"
2017-11-08 20:00:00,swing_high,7770.02,502,501,1,"{""HighLow"": 1.0, ""Level"": 7770.02, ""delay_bars"": 1}"
2017-11-11 00:00:00,swing_low,6255.01,515,514,1,"{""HighLow"": -1.0, ""Level"": 6255.01, ""delay_bars"": 1}"
2017-11-12 16:00:00,swing_high,6630.0,525,523,2,"{""HighLow"": 1.0, ""Level"": 6630.0, ""delay_bars"": 2}"
2017-11-18 16:00:00,swing_low,7422.0,561,557,4,"{""HighLow"": -1.0, ""Level"": 7422.0, ""delay_bars"": 4}"
2017-11-21 00:00:00,swing_high,8319.99,575,574,1,"{""HighLow"": 1.0, ""Level"": 8319.99, ""delay_bars"": 1}"
2017-11-24 04:00:00,swing_low,7850.0,594,593,1,"{""HighLow"": -1.0, ""Level"": 7850.0, ""delay_bars"": 1}"
