timestamp,event_type,price,candle_index,pivot_index,delay_bars,metadata
2020-08-13 08:00:00,swing_high,4.1387,13,12,1,"{""HighLow"": 1.0, ""Level"": 4.1387, ""delay_bars"": 1}"
2020-08-15 08:00:00,swing_low,3.163,25,24,1,"{""HighLow"": -1.0, ""Level"": 3.163, ""delay_bars"": 1}"
2020-08-18 16:00:00,swing_high,3.7092,45,44,1,"{""HighLow"": 1.0, ""Level"": 3.7092, ""delay_bars"": 1}"
2020-08-20 08:00:00,swing_low,2.8,55,48,7,"{""HighLow"": -1.0, ""Level"": 2.8, ""delay_bars"": 7}"
2020-08-21 00:00:00,swing_high,3.445,59,57,2,"{""HighLow"": 1.0, ""Level"": 3.445, ""delay_bars"": 2}"
2020-08-22 12:00:00,swing_low,2.7431,68,66,2,"{""HighLow"": -1.0, ""Level"": 2.7431, ""delay_bars"": 2}"
2020-08-23 08:00:00,swing_high,3.2857,73,71,2,"{""HighLow"": 1.0, ""Level"": 3.2857, ""delay_bars"": 2}"
2020-08-26 00:00:00,swing_low,3.0001,89,86,3,"{""HighLow"": -1.0, ""Level"": 3.0001, ""delay_bars"": 3}"
2020-08-27 00:00:00,swing_high,3.7999,95,93,2,"{""HighLow"": 1.0, ""Level"": 3.7999, ""delay_bars"": 2}"
2020-08-27 12:00:00,swing_low,3.3,98,97,1,"{""HighLow"": -1.0, ""Level"": 3.3, ""delay_bars"": 1}"
2020-08-29 04:00:00,swing_high,4.3091,108,106,2,"{""HighLow"": 1.0, ""Level"": 4.3091, ""delay_bars"": 2}"
2020-08-30 04:00:00,swing_low,3.7748,114,109,5,"{""HighLow"": -1.0, ""Level"": 3.7748, ""delay_bars"": 5}"
2020-08-31 00:00:00,swing_high,4.7117,119,116,3,"{""HighLow"": 1.0, ""Level"": 4.7117, ""delay_bars"": 3}"
2020-08-31 12:00:00,swing_low,4.1,122,120,2,"{""HighLow"": -1.0, ""Level"": 4.1, ""delay_bars"": 2}"
2020-09-01 12:00:00,swing_high,4.9475,128,126,2,"{""HighLow"": 1.0, ""Level"": 4.9475, ""delay_bars"": 2}"
2020-09-02 12:00:00,swing_low,3.66,134,133,1,"{""HighLow"": -1.0, ""Level"": 3.66, ""delay_bars"": 1}"
2020-09-03 12:00:00,swing_high,4.459,140,139,1,"{""HighLow"": 1.0, ""Level"": 4.459, ""delay_bars"": 1}"
2020-09-04 20:00:00,swing_low,3.1739,148,146,2,"{""HighLow"": -1.0, ""Level"": 3.1739, ""delay_bars"": 2}"
2020-09-07 08:00:00,swing_high,3.1983,163,161,2,"{""HighLow"": 1.0, ""Level"": 3.1983, ""delay_bars"": 2}"
2020-09-07 20:00:00,swing_low,2.38,166,164,2,"{""HighLow"": -1.0, ""Level"": 2.38, ""delay_bars"": 2}"
2020-09-09 16:00:00,swing_high,3.8838,177,176,1,"{""HighLow"": 1.0, ""Level"": 3.8838, ""delay_bars"": 1}"
2020-09-11 20:00:00,swing_low,3.0316,190,185,5,"{""HighLow"": -1.0, ""Level"": 3.0316, ""delay_bars"": 5}"
